n,p,n_steps,time,bottom_reached,n_threads
74,1,75,0.437,1,1
75,0.1,2,0.013,0,1
75,0.2,6,0.036,0,1
75,0.3,9,0.0540001,0,1
75,0.4,7,0.04,0,1
75,0.5,21,0.115,0,1
75,0.6,16,0.0880001,0,1
75,0.7,106,0.618,1,1
75,0.8,93,0.631,1,1
75,0.9,84,0.554,1,1
75,1,76,0.523,1,1
76,0.1,2,0.0109999,0,1
76,0.2,3,0.0190001,0,1
76,0.3,4,0.0239999,0,1
76,0.4,14,0.0840001,0,1
76,0.5,17,0.098,0,1
76,0.6,123,0.813,1,1
76,0.7,107,0.663,1,1
76,0.8,96,0.781,1,1
76,0.9,86,0.571,1,1
76,1,78,0.47,1,1
77,0.1,4,0.0239999,0,1
77,0.2,3,0.0180001,0,1
77,0.3,14,0.079,0,1
77,0.4,16,0.0929999,0,1
77,0.5,16,0.1,0,1
77,0.6,144,0.841,1,1
77,0.7,126,0.718,1,1
77,0.8,95,0.59,1,1
77,0.9,87,0.614,1,1
77,1,78,0.586,1,1
78,0.1,4,0.027,0,1
78,0.2,4,0.0960002,0,1
78,0.3,4,0.036,0,1
78,0.4,10,0.122,0,1
78,0.5,42,0.258,0,1
78,0.6,26,0.166,0,1
78,0.7,114,0.757,1,1
78,0.8,97,0.574,1,1
78,0.9,89,0.512,1,1
78,1,79,0.446,1,1
79,0.1,3,0.0180001,0,1
79,0.2,5,0.03,0,1
79,0.3,4,0.0219998,0,1
79,0.4,13,0.075,0,1
79,0.5,19,0.107,0,1
79,0.6,214,1.236,1,1
79,0.7,113,0.707,1,1
79,0.8,97,0.628,1,1
79,0.9,89,0.596,1,1
79,1,80,0.626,1,1
80,0.1,2,0.016,0,1
80,0.2,4,0.029,0,1
80,0.3,7,0.0509999,0,1
80,0.4,10,0.069,0,1
80,0.5,31,0.209,0,1
80,0.6,117,0.701,0,1
80,0.7,123,1.011,1,1
80,0.8,100,0.661,1,1
80,0.9,91,0.516,1,1
80,1,82,0.478,1,1
81,0.1,3,0.0159998,0,1
81,0.2,5,0.0270002,0,1
81,0.3,9,0.0509999,0,1
81,0.4,14,0.082,0,1
81,0.5,27,0.244,0,1
81,0.6,185,1.28,1,1
81,0.7,115,0.693,1,1
81,0.8,100,0.584,1,1
81,0.9,90,0.517,1,1
81,1,82,0.465,1,1
82,0.1,2,0.00900006,0,1
82,0.2,3,0.016,0,1
82,0.3,10,0.0569999,0,1
82,0.4,11,0.0610001,0,1
82,0.5,19,0.104,0,1
82,0.6,194,1.077,1,1
82,0.7,126,0.699,1,1
82,0.8,101,0.594,1,1
82,0.9,91,0.531,1,1
82,1,83,0.59,1,1
83,0.1,4,0.027,0,1
83,0.2,5,0.0370002,0,1
83,0.3,3,0.0589998,0,1
83,0.4,17,0.134,0,1
83,0.5,30,0.178,0,1
83,0.6,148,0.897,1,1
83,0.7,116,0.638,1,1
83,0.8,103,0.573,1,1
83,0.9,92,0.513,1,1
83,1,84,0.466,1,1
84,0.1,2,0.00999999,0,1
84,0.2,5,0.027,0,1
84,0.3,10,0.059,0,1
84,0.4,11,0.0599999,0,1
84,0.5,27,0.148,0,1
84,0.6,156,0.866,1,1
84,0.7,122,0.683,1,1
84,0.8,102,0.56,1,1
84,0.9,93,0.514,1,1
